idx	U_label	U	beta	T	L6_Ntot_target	L6_target_density	L8_reference_Ntot	L8_reference_density	mu_L8_reference	source_manifests	source_out_parents	reference_status
23	Um5	-5.0	2.9	0.344827586207	26	0.722222222222	46	0.718750000000	-0.375839176292	scripts_interacting_qmc_ed_gce_prod_L8_found_mu_N46_allU_Up5small_beta_le10_20260713_manifests_gce_prod_L8_found_mu_attractive_20260713_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_N46_Um3_Um5_beta_le10_foundmu_20260713/ccsd/Um5/Ntot046_n0.718750_beta2p9	final_production
24	Um5	-5.0	3.3	0.303030303030	26	0.722222222222	46	0.718750000000	-0.366593584863	scripts_interacting_qmc_ed_gce_prod_L8_found_mu_N46_allU_Up5small_beta_le10_20260713_manifests_gce_prod_L8_found_mu_attractive_20260713_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_N46_Um3_Um5_beta_le10_foundmu_20260713/ccsd/Um5/Ntot046_n0.718750_beta3p3	final_production
25	Um5	-5.0	4.0	0.250000000000	26	0.722222222222	46	0.718750000000	-0.356865956269	scripts_interacting_qmc_ed_gce_prod_L8_found_mu_N46_allU_Up5small_beta_le10_20260713_manifests_gce_prod_L8_found_mu_attractive_20260713_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_N46_Um3_Um5_beta_le10_foundmu_20260713/ccsd/Um5/Ntot046_n0.718750_beta4p0	final_production
26	Um5	-5.0	5.0	0.200000000000	26	0.722222222222	46	0.718750000000	-0.351101333972	scripts_interacting_qmc_ed_gce_prod_L8_found_mu_N46_allU_Up5small_beta_le10_20260713_manifests_gce_prod_L8_found_mu_attractive_20260713_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_N46_Um3_Um5_beta_le10_foundmu_20260713/ccsd/Um5/Ntot046_n0.718750_beta5p0	final_production
27	Um5	-5.0	6.7	0.149253731343	26	0.722222222222	46	0.718750000000	-0.347327883510	scripts_interacting_qmc_ed_gce_prod_L8_found_mu_N46_allU_Up5small_beta_le10_20260713_manifests_gce_prod_L8_found_mu_attractive_20260713_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_N46_Um3_Um5_beta_le10_foundmu_20260713/cnms/Um5/Ntot046_n0.718750_beta6p7	final_production
28	Um5	-5.0	10.0	0.100000000000	26	0.722222222222	46	0.718750000000	-0.345549894879	scripts_interacting_qmc_ed_gce_prod_L8_found_mu_N46_allU_Up5small_beta_le10_20260713_manifests_gce_prod_L8_found_mu_attractive_20260713_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_N46_Um3_Um5_beta_le10_foundmu_20260713/cnms/Um5/Ntot046_n0.718750_beta10p0	final_production
29	Um5	-5.0	20.0	0.050000000000	26	0.722222222222	46	0.718750000000	-0.344567277786	scripts_interacting_qmc_ed_gce_beta20_L8_Um3N32_Um3Um5N46_20260714_manifests_gce_prod_L8_beta20_N46_validated_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_beta20_Um3N46_Um5N46_20260714/cnms/Um5/Ntot046_n0.718750_b20p0_T0p050000_mum0p344567	final_production
30	Um5	-5.0	2.0	0.500000000000	32	0.888888888889	56	0.875000000000	-0.180081355595	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/ccsd/Ntot056_n0.875000_b2p0_T0p500000_mum0p180081	final_production
31	Um5	-5.0	2.2	0.454545454545	32	0.888888888889	56	0.875000000000	-0.174202881087	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/ccsd/Ntot056_n0.875000_b2p2_T0p454545_mum0p174203	final_production
32	Um5	-5.0	2.5	0.400000000000	32	0.888888888889	56	0.875000000000	-0.167684906130	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/ccsd/Ntot056_n0.875000_b2p5_T0p400000_mum0p167685	final_production
