idx	stage	U_label	U	beta	target_T	actual_T	Ltau	Ntot	Nup	Ndn	density	account	job_tag	outdir	seed	nwarmups	max_batches	batch_nsamples	measure_interval	cluster_size	Lx	Ly	dtau	expected_ranks	phase_reweighted	force_symmetry
48	attractive	Um3	-3.0	2.9	0.344827586207	0.344827586207	29	18	9	9	0.500000000000	ccsd	ceL6Um3N18b2p9	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot018_n0.500000_b2p9_T0.344828_Nup009_Ndn009_r32_w5000_m50000_seed1907190048	1907190048	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
49	attractive	Um3	-3.0	3.3	0.303030303030	0.303030303030	33	18	9	9	0.500000000000	ccsd	ceL6Um3N18b3p3	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot018_n0.500000_b3p3_T0.303030_Nup009_Ndn009_r32_w5000_m50000_seed1907190049	1907190049	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
50	attractive	Um3	-3.0	4.0	0.250000000000	0.250000000000	40	18	9	9	0.500000000000	ccsd	ceL6Um3N18b4p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot018_n0.500000_b4p0_T0.250000_Nup009_Ndn009_r32_w5000_m50000_seed1907190050	1907190050	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
51	attractive	Um3	-3.0	5.0	0.200000000000	0.200000000000	50	18	9	9	0.500000000000	ccsd	ceL6Um3N18b5p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot018_n0.500000_b5p0_T0.200000_Nup009_Ndn009_r32_w5000_m50000_seed1907190051	1907190051	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
52	attractive	Um3	-3.0	6.7	0.149253731343	0.149253731343	67	18	9	9	0.500000000000	ccsd	ceL6Um3N18b6p7	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot018_n0.500000_b6p7_T0.149254_Nup009_Ndn009_r32_w5000_m50000_seed1907190052	1907190052	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
53	attractive	Um3	-3.0	10.0	0.100000000000	0.100000000000	100	18	9	9	0.500000000000	ccsd	ceL6Um3N18b10p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot018_n0.500000_b10p0_T0.100000_Nup009_Ndn009_r32_w5000_m50000_seed1907190053	1907190053	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
54	attractive	Um3	-3.0	2.0	0.500000000000	0.500000000000	20	26	13	13	0.722222222222	ccsd	ceL6Um3N26b2p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot026_n0.722222_b2p0_T0.500000_Nup013_Ndn013_r32_w5000_m50000_seed1907190054	1907190054	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
55	attractive	Um3	-3.0	2.2	0.454545454545	0.454545454545	22	26	13	13	0.722222222222	ccsd	ceL6Um3N26b2p2	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot026_n0.722222_b2p2_T0.454545_Nup013_Ndn013_r32_w5000_m50000_seed1907190055	1907190055	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
56	attractive	Um3	-3.0	2.5	0.400000000000	0.400000000000	25	26	13	13	0.722222222222	ccsd	ceL6Um3N26b2p5	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot026_n0.722222_b2p5_T0.400000_Nup013_Ndn013_r32_w5000_m50000_seed1907190056	1907190056	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
57	attractive	Um3	-3.0	2.9	0.344827586207	0.344827586207	29	26	13	13	0.722222222222	ccsd	ceL6Um3N26b2p9	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot026_n0.722222_b2p9_T0.344828_Nup013_Ndn013_r32_w5000_m50000_seed1907190057	1907190057	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
58	attractive	Um3	-3.0	3.3	0.303030303030	0.303030303030	33	26	13	13	0.722222222222	ccsd	ceL6Um3N26b3p3	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot026_n0.722222_b3p3_T0.303030_Nup013_Ndn013_r32_w5000_m50000_seed1907190058	1907190058	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
