panel	square_geometry	temperature_disk	temperature_square	delta_temperature	abs_delta_temperature
Disk GCE to Square GCE	square_obc	0.018260290055	0.051276817376	0.033016527321	0.033016527321
Disk GCE to Square GCE	square_obc	0.018316474876	0.051409730721	0.033093255845	0.033093255845
Disk GCE to Square GCE	square_obc	0.018372832572	0.051542988587	0.033170156015	0.033170156015
Disk GCE to Square GCE	square_obc	0.018429363674	0.051676591868	0.033247228194	0.033247228194
Disk GCE to Square GCE	square_obc	0.018486068716	0.051810541459	0.033324472743	0.033324472743
Disk GCE to Square GCE	square_obc	0.018542948232	0.051943610800	0.033400662568	0.033400662568
Disk GCE to Square GCE	square_obc	0.018600002760	0.052075384837	0.033475382077	0.033475382077
Disk GCE to Square GCE	square_obc	0.018657232839	0.052207493167	0.033550260328	0.033550260328
Disk GCE to Square GCE	square_obc	0.018714639008	0.052339936639	0.033625297631	0.033625297631
Disk GCE to Square GCE	square_obc	0.018772221809	0.052472716102	0.033700494293	0.033700494293
Disk GCE to Square GCE	square_obc	0.018829981786	0.052605832409	0.033775850623	0.033775850623
Disk GCE to Square GCE	square_obc	0.018887919484	0.052744605650	0.033856686166	0.033856686166
Disk GCE to Square GCE	square_obc	0.018946035449	0.052883253197	0.033937217748	0.033937217748
Disk GCE to Square GCE	square_obc	0.019004330231	0.053022265201	0.034017934970	0.034017934970
Disk GCE to Square GCE	square_obc	0.019062804379	0.053161642621	0.034098838242	0.034098838242
Disk GCE to Square GCE	square_obc	0.019121458445	0.053301386416	0.034179927971	0.034179927971
Disk GCE to Square GCE	square_obc	0.019180292983	0.053441497549	0.034261204566	0.034261204566
Disk GCE to Square GCE	square_obc	0.019239308548	0.053581524428	0.034342215880	0.034342215880
Disk GCE to Square GCE	square_obc	0.019298505697	0.053719232051	0.034420726354	0.034420726354
Disk GCE to Square GCE	square_obc	0.019357884990	0.053857293591	0.034499408601	0.034499408601
Disk GCE to Square GCE	square_obc	0.019417446985	0.053995709956	0.034578262971	0.034578262971
Disk GCE to Square GCE	square_obc	0.019477192246	0.054134482060	0.034657289814	0.034657289814
Disk GCE to Square GCE	square_obc	0.019537121336	0.054273610817	0.034736489481	0.034736489481
Disk GCE to Square GCE	square_obc	0.019597234821	0.054413097142	0.034815862321	0.034815862321
Disk GCE to Square GCE	square_obc	0.019657533269	0.054550312122	0.034892778853	0.034892778853
Disk GCE to Square GCE	square_obc	0.019718017248	0.054687309415	0.034969292167	0.034969292167
Disk GCE to Square GCE	square_obc	0.019778687329	0.054824650762	0.035045963433	0.035045963433
Disk GCE to Square GCE	square_obc	0.019839544085	0.054962337027	0.035122792942	0.035122792942
Disk GCE to Square GCE	square_obc	0.019900588090	0.055100369076	0.035199780986	0.035199780986
Disk GCE to Square GCE	square_obc	0.019961819921	0.055238747778	0.035276927857	0.035276927857
Disk GCE to Square GCE	square_obc	0.020023240155	0.055376247580	0.035353007425	0.035353007425
Disk GCE to Square GCE	square_obc	0.020084849372	0.055512066755	0.035427217383	0.035427217383
Disk GCE to Square GCE	square_obc	0.020146648154	0.055654156598	0.035507508444	0.035507508444
Disk GCE to Square GCE	square_obc	0.020208637083	0.055799407522	0.035590770439	0.035590770439
Disk GCE to Square GCE	square_obc	0.020270816745	0.055945037535	0.035674220790	0.035674220790
Disk GCE to Square GCE	square_obc	0.020333187727	0.056091047625	0.035757859898	0.035757859898
Disk GCE to Square GCE	square_obc	0.020395750617	0.056237438785	0.035841688168	0.035841688168
Disk GCE to Square GCE	square_obc	0.020458506007	0.056381389753	0.035922883746	0.035922883746
Disk GCE to Square GCE	square_obc	0.020521454487	0.056525010497	0.036003556010	0.036003556010
Disk GCE to Square GCE	square_obc	0.020584596652	0.056668997087	0.036084400435	0.036084400435
Disk GCE to Square GCE	square_obc	0.020647933099	0.056813350455	0.036165417356	0.036165417356
Disk GCE to Square GCE	square_obc	0.020711464425	0.056958071536	0.036246607111	0.036246607111
Disk GCE to Square GCE	square_obc	0.020775191229	0.057103161266	0.036327970037	0.036327970037
Disk GCE to Square GCE	square_obc	0.020839114114	0.057248297476	0.036409183362	0.036409183362
Disk GCE to Square GCE	square_obc	0.020903233681	0.057390539642	0.036487305961	0.036487305961
Disk GCE to Square GCE	square_obc	0.020967550538	0.057533135230	0.036565584692	0.036565584692
Disk GCE to Square GCE	square_obc	0.021032065290	0.057676085119	0.036644019829	0.036644019829
Disk GCE to Square GCE	square_obc	0.021096778546	0.057819390188	0.036722611642	0.036722611642
Disk GCE to Square GCE	square_obc	0.021161690918	0.057963051321	0.036801360403	0.036801360403
Disk GCE to Square GCE	square_obc	0.021226803018	0.058107069402	0.036880266384	0.036880266384
Disk GCE to Square GCE	square_obc	0.021292115460	0.058250580109	0.036958464649	0.036958464649
Disk GCE to Square GCE	square_obc	0.021357628861	0.058391658310	0.037034029449	0.037034029449
Disk GCE to Square GCE	square_obc	0.021423343840	0.058533078192	0.037109734352	0.037109734352
Disk GCE to Square GCE	square_obc	0.021489261015	0.058674840580	0.037185579565	0.037185579565
Disk GCE to Square GCE	square_obc	0.021555381011	0.058816946306	0.037261565295	0.037261565295
