panel	square_geometry	temperature_disk	temperature_square
Disk GCE to Square GCE	square_obc	0.024299111485	0.064756147378
Disk GCE to Square GCE	square_obc	0.024373877069	0.064913364291
Disk GCE to Square GCE	square_obc	0.024448872698	0.065067266987
Disk GCE to Square GCE	square_obc	0.024524099079	0.065220498820
Disk GCE to Square GCE	square_obc	0.024599556924	0.065374091510
Disk GCE to Square GCE	square_obc	0.024675246944	0.065528045907
Disk GCE to Square GCE	square_obc	0.024751169853	0.065682362863
Disk GCE to Square GCE	square_obc	0.024827326368	0.065837043232
Disk GCE to Square GCE	square_obc	0.024903717208	0.065992087869
Disk GCE to Square GCE	square_obc	0.024980343095	0.066147497633
Disk GCE to Square GCE	square_obc	0.025057204750	0.066299683859
Disk GCE to Square GCE	square_obc	0.025134302899	0.066450982084
Disk GCE to Square GCE	square_obc	0.025211638271	0.066602625577
Disk GCE to Square GCE	square_obc	0.025289211595	0.066762142048
Disk GCE to Square GCE	square_obc	0.025367023604	0.066927541347
Disk GCE to Square GCE	square_obc	0.025445075030	0.067093350413
Disk GCE to Square GCE	square_obc	0.025523366613	0.067259570261
Disk GCE to Square GCE	square_obc	0.025601899089	0.067426201910
Disk GCE to Square GCE	square_obc	0.025680673201	0.067590557831
Disk GCE to Square GCE	square_obc	0.025759689691	0.067752650714
Disk GCE to Square GCE	square_obc	0.025838949307	0.067915132321
Disk GCE to Square GCE	square_obc	0.025918452795	0.068078003585
Disk GCE to Square GCE	square_obc	0.025998200906	0.068241265440
Disk GCE to Square GCE	square_obc	0.026078194394	0.068404918823
Disk GCE to Square GCE	square_obc	0.026158434011	0.068568964672
Disk GCE to Square GCE	square_obc	0.026238920518	0.068733403930
Disk GCE to Square GCE	square_obc	0.026319654671	0.068897976743
Disk GCE to Square GCE	square_obc	0.026400637235	0.069057736831
Disk GCE to Square GCE	square_obc	0.026481868972	0.069217867370
Disk GCE to Square GCE	square_obc	0.026563350651	0.069378369218
Disk GCE to Square GCE	square_obc	0.026645083039	0.069539243236
Disk GCE to Square GCE	square_obc	0.026727066908	0.069700490288
Disk GCE to Square GCE	square_obc	0.026809303033	0.069862111239
Disk GCE to Square GCE	square_obc	0.026891792188	0.070024106954
Disk GCE to Square GCE	square_obc	0.026974535153	0.070186478305
Disk GCE to Square GCE	square_obc	0.027057532709	0.070347178675
Disk GCE to Square GCE	square_obc	0.027140785639	0.070504710476
Disk GCE to Square GCE	square_obc	0.027224294729	0.070662595045
Disk GCE to Square GCE	square_obc	0.027308060766	0.070820833172
Disk GCE to Square GCE	square_obc	0.027392084542	0.070979425650
Disk GCE to Square GCE	square_obc	0.027476366849	0.071138373271
Disk GCE to Square GCE	square_obc	0.027560908484	0.071297676832
Disk GCE to Square GCE	square_obc	0.027645710243	0.071460106665
Disk GCE to Square GCE	square_obc	0.027730772928	0.071635553170
Disk GCE to Square GCE	square_obc	0.027816097341	0.071808627741
Disk GCE to Square GCE	square_obc	0.027901684287	0.071978669089
Disk GCE to Square GCE	square_obc	0.027987534575	0.072149113091
Disk GCE to Square GCE	square_obc	0.028073649014	0.072319960701
Disk GCE to Square GCE	square_obc	0.028160028417	0.072491212875
Disk GCE to Square GCE	square_obc	0.028246673600	0.072662870570
Disk GCE to Square GCE	square_obc	0.028333585380	0.072834934747
Disk GCE to Square GCE	square_obc	0.028420764578	0.073007406369
Disk GCE to Square GCE	square_obc	0.028508212016	0.073180286399
Disk GCE to Square GCE	square_obc	0.028595928520	0.073351794215
Disk GCE to Square GCE	square_obc	0.028683914917	0.073519089336
Disk GCE to Square GCE	square_obc	0.028772172039	0.073686766011
Disk GCE to Square GCE	square_obc	0.028860700717	0.073854825109
Disk GCE to Square GCE	square_obc	0.028949501789	0.074023267504
Disk GCE to Square GCE	square_obc	0.029038576091	0.074192094069
Disk GCE to Square GCE	square_obc	0.029127924464	0.074361305681
Disk GCE to Square GCE	square_obc	0.029217547752	0.074530903218
Disk GCE to Square GCE	square_obc	0.029307446801	0.074700887559
Disk GCE to Square GCE	square_obc	0.029397622459	0.074871259588
Disk GCE to Square GCE	square_obc	0.029488075577	0.075036506204
Disk GCE to Square GCE	square_obc	0.029578807008	0.075201091871
Disk GCE to Square GCE	square_obc	0.029669817611	0.075366038542
Disk GCE to Square GCE	square_obc	0.029761108242	0.075531347008
Disk GCE to Square GCE	square_obc	0.029852679764	0.075697018064
Disk GCE to Square GCE	square_obc	0.029944533041	0.075863052503
Disk GCE to Square GCE	square_obc	0.030036668940	0.076029451124
Disk GCE to Square GCE	square_obc	0.030129088331	0.076196214724
Disk GCE to Square GCE	square_obc	0.030221792086	0.076363344106
Disk GCE to Square GCE	square_obc	0.030314781079	0.076529998141
Disk GCE to Square GCE	square_obc	0.030408056189	0.076691173841
Disk GCE to Square GCE	square_obc	0.030501618296	0.076852688984
Disk GCE to Square GCE	square_obc	0.030595468283	0.077024588039
Disk GCE to Square GCE	square_obc	0.030689607035	0.077204627007
Disk GCE to Square GCE	square_obc	0.030784035442	0.077385086803
Disk GCE to Square GCE	square_obc	0.030878754394	0.077565968409
Disk GCE to Square GCE	square_obc	0.030973764785	0.077747272812
Disk GCE to Square GCE	square_obc	0.031069067513	0.077929000999
Disk GCE to Square GCE	square_obc	0.031164663476	0.078111153963
Disk GCE to Square GCE	square_obc	0.031260553577	0.078292899847
Disk GCE to Square GCE	square_obc	0.031356738720	0.078468308468
Disk GCE to Square GCE	square_obc	0.031453219815	0.078644110077
Disk GCE to Square GCE	square_obc	0.031549997770	0.078820305555
Disk GCE to Square GCE	square_obc	0.031647073501	0.078996895783
Disk GCE to Square GCE	square_obc	0.031744447922	0.079173881648
Disk GCE to Square GCE	square_obc	0.031842121953	0.079351264034
Disk GCE to Square GCE	square_obc	0.031940096516	0.079529043830
Disk GCE to Square GCE	square_obc	0.032038372536	0.079707221927
Disk GCE to Square GCE	square_obc	0.032136950939	0.079885799217
Disk GCE to Square GCE	square_obc	0.032235832657	0.080064776594
Disk GCE to Square GCE	square_obc	0.032335018623	0.080238130066
Disk GCE to Square GCE	square_obc	0.032434509773	0.080410111935
Disk GCE to Square GCE	square_obc	0.032534307045	0.080582462428
Disk GCE to Square GCE	square_obc	0.032634411382	0.080755182337
Disk GCE to Square GCE	square_obc	0.032734823729	0.080928272452
Disk GCE to Square GCE	square_obc	0.032835545033	0.081101733568
Disk GCE to Square GCE	square_obc	0.032936576245	0.081275566479
Disk GCE to Square GCE	square_obc	0.033037918319	0.081449771982
Disk GCE to Square GCE	square_obc	0.033139572210	0.081624350876
Disk GCE to Square GCE	square_obc	0.033241538879	0.081799303961
Disk GCE to Square GCE	square_obc	0.033343819288	0.081973819559
Disk GCE to Square GCE	square_obc	0.033446414402	0.082141569205
Disk GCE to Square GCE	square_obc	0.033549325189	0.082309662132
Disk GCE to Square GCE	square_obc	0.033652552621	0.082478099040
Disk GCE to Square GCE	square_obc	0.033756097672	0.082646880635
Disk GCE to Square GCE	square_obc	0.033859961319	0.082816007620
Disk GCE to Square GCE	square_obc	0.033964144542	0.082985480705
Disk GCE to Square GCE	square_obc	0.034068648326	0.083155300595
Disk GCE to Square GCE	square_obc	0.034173473655	0.083325468002
Disk GCE to Square GCE	square_obc	0.034278621521	0.083516636807
Disk GCE to Square GCE	square_obc	0.034384092914	0.083709246376
